id,structure_order,q1,q2,q3,q4,q5,q6,q7,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long,sibling_group
GOP705,460,0.8795,0.0015,0.0057,0.001,0.0715,0.0398,0.001,0.225361819,0.972707263,1.001118915,-0.001574958,0.650925659,SEVERN,NA,299,NA,2,NA,,-29.17761,151.0957,NA
GOP706,461,0.5038,0.001,0.001,0.484,0.0048,0.0032,0.0022,0.226219301,0.97651189,1.004956071,-0.002761357,0.655759087,SEVERN,NA,280,NA,3,NA,,-29.17761,151.0957,NA
GOP707,462,0.8348,0.001,0.0015,0.0033,0.0025,0.1182,0.0387,0.221992416,0.957105936,0.985953529,0.001940947,0.649703888,SEVERN,NA,475,NA,9,NA,,-29.17761,151.0957,NA
GOP708,463,0.987,0.0035,0.001,0.0023,0.002,0.002,0.0022,0.233183857,1.0064662,1.036579958,-0.025486833,0.637422448,SEVERN,NA,510,NA,12,NA,,-29.17761,151.0957,NA
GOP709,464,0.8806,0.0023,0.0025,0.002,0.0012,0.0033,0.108,0.227257004,0.980506206,1.010198472,-0.016288993,0.641787331,SEVERN,NA,540,NA,21,NA,,-29.17761,151.0957,NA
GOP710,465,0.6712,0.0015,0.2396,0.0023,0.004,0.0715,0.0098,0.22283737,0.964424164,0.993215759,-0.011873162,0.652298188,SEVERN,NA,559,NA,26,NA,,-29.17761,151.0957,NA
GOP711,466,0.9843,0.001,0.001,0.001,0.0038,0.0058,0.003,0.226310309,0.979601248,1.008659963,-0.011409718,0.646945245,SEVERN,NA,488,NA,20,NA,,-29.17761,151.0957,NA
GOP712,467,0.8531,0.004,0.1257,0.001,0.0127,0.0015,0.002,0.223720609,0.965631619,0.994636226,-0.003769899,0.654405749,SEVERN,NA,475,NA,8,NA,,-29.17761,151.0957,NA
GOP713,468,0.9532,0.0297,0.0032,0.0023,0.0035,0.0052,0.003,0.255895811,1.114667826,1.147173284,-0.168704234,0.582011622,SEVERN,NA,481,NA,10,NA,,-29.17761,151.0957,NA
GOP714,469,0.785,0.007,0.0012,0.001,0.0047,0.0012,0.2,0.245283019,1.061125108,1.09244169,-0.081704629,0.618343594,SEVERN,NA,478,NA,7,NA,,-29.17761,151.0957,NA
GOP715,470,0.9875,0.0017,0.0053,0.001,0.002,0.001,0.0015,0.227131515,0.980142199,1.009495523,-0.006488951,0.653156442,SEVERN,NA,469,NA,13,NA,,-29.17761,151.0957,NA
